정류장명,거래건수,위도,경도
31사단,81438,35.1945351,126.9040784
4.19기념관,187375,35.161825,126.9178361
4수원지,2909,35.1638496,126.95962232767474
4수원지위,1773,35.156812,126.962349
5.18기념공원,64019,35.1561036,126.8551807
5.18기념문화센터,122648,35.1589246,126.8582796
5.18자유공원,62179,35.149116500000005,126.84036140358128
518민주화운동기록관,58413,35.1494035,126.9163222
CBS방송국,307619,37.5282189,126.8742783
EG아파트,12536,,
KT&G광주공장,135824,35.2011583,126.8747639
KTX체육기지,2258,,
LG전자광주물류센터,9266,35.2065503,126.7827004
RTM,11895,23.340708,75.0509934
가마,1791,35.171162,126.702753
가사문학관,1109,35.1872592,127.0045165
가산,522,36.0374898,128.5831584
가산(북),75,35.1341003,126.6771695
가삼,765,35.1566234,126.7218753
가야농원,362,35.1236615,126.9303106
가정,1085,37.5247194,126.6753212
가천아파트,314,35.152053949999996,126.78671748904381
가톨릭대평생교육원,72986,35.1493906,126.8708315
각화무등파크,98320,35.1786306,126.9349472
각화중,17225,35.1817042,126.9374767
각화초교,27610,35.1806611,126.9363361
갈전,1162,35.6175122,129.1246514
갑향리,863,35.27519,126.91055
강의리,3087,35.26364,126.90894
개동,1388,35.0917211,126.8270465
거진,154314,35.211966,126.8742813
건강협회,119964,35.147873,126.888924
건강협회(남),8441,35.147873,126.888924
건국동행정복지센터,10303,35.2222609,126.8808873
건국지구대,138204,,
검문소,573,37.7816703,126.3992438
경방,6949,35.1947639,126.80445
경신여고,1916285,35.1725699,126.8886774
경신여고(일방로),196016,35.173709,126.8885741
경암근린공원,40505,,
경제고용진흥원,1024,35.2088639,126.8149833
계림사거리,65615,35.1624097,126.9202272
계림초교후문,17475,35.1605083,126.9235167
계소리,1492,35.06119,126.95475
계소리1구,13085,35.051625,126.9586444
계소리3구입구,129,,
계수,90352,35.1620277,126.8581802
계수초교,148164,35.1551017,126.8455502
고내입구,4034,35.2385668,126.8628165
고려고,392699,35.1932,126.8985162
고려병원,9286,37.759113,128.899909
고려중,17795,,
고령친화종합체험관,5630,35.0973016,126.8951288
고룡정보산업학교,981,35.210222900000005,126.76781973537078
고서사거리,2723,35.2223278,126.9733556
고서중,460,35.224075,126.978375
고성리,1413,34.4916397,126.3210639
