사고,위도,경도
12,35.121177,126.865233
9,35.145883,126.881831
12,35.130707,126.855062
12,35.152573,126.847533
6,35.140054,126.860151
6,35.158847,126.856985
6,35.126475,126.882834
6,35.170560,126.860308
6,35.138128,126.873010
6,35.161238,126.863291
6,35.155165,126.876898
4,35.140933,126.878875
8,35.125570,126.880448
6,35.170823,126.869874
4,35.155498,126.877008
6,35.170851,126.867519
6,35.158640,126.858291
6,35.149283,126.847432
12,35.159248,126.863146
6,35.168685,126.860454
6,35.155163,126.845366
6,35.141496,126.879428
