정류장명,거래건수
31사단,81438
4.19기념관,187375
4수원지,2909
4수원지위,1773
5.18기념공원,64019
5.18기념문화센터,122648
5.18자유공원,62179
518민주화운동기록관,58413
CBS방송국,307619
EG아파트,12536
KT&G광주공장,135824
KTX체육기지,2258
LG전자광주물류센터,9266
RTM,11895
가마,1791
가사문학관,1109
가산,522
가산(북),75
가삼,765
가야농원,362
가정,1085
가천아파트,314
가톨릭대평생교육원,72986
각화무등파크,98320
각화중,17225
각화초교,27610
갈전,1162
갑향리,863
강의리,3087
개동,1388
거진,154314
건강협회,119964
건강협회(남),8441
건국동행정복지센터,10303
건국지구대,138204
검문소,573
경방,6949
경신여고,1916285
경신여고(일방로),196016
경암근린공원,40505
경제고용진흥원,1024
계림사거리,65615
계림초교후문,17475
계소리,1492
계소리1구,13085
계소리3구입구,129
계수,90352
계수초교,148164
고내입구,4034
고려고,392699
고려병원,9286
고려중,17795
고령친화종합체험관,5630
고룡정보산업학교,981
고서사거리,2723
고서중,460
고성리,1413
고실마을,97206
골옷교,32712
공간아파트,13312
공구단지,34308
공구의거리,31924
공군부대,9703
공군부대정문,683
공군부대후문,24291
공원묘지,4023
공원묘지입구,201
공항,716
공항역,136304
과기원,22158
관두,623
광곡입구/빛여울초교,74722
광남고,2514
광림초교입구,8143
광명아파트,1919
광명하이츠후문,131630
광산경찰서,44275
광산구노인복지회관,124095
광산구유스호스텔,330
광산구청,273590
광산소방서입구,14995
광산엘리체입구,160
광산우산동행정복지센터,30532
광산중,304953
광신대교,25120
광신스크랩,12146
광신아파트,26348
광암교입구,67358
광암복림,228
광이리,683
광일고,4066
광주경제자유구역청,12344
광주고,3026
광주고/419역사관,380817
광주공고,18243
광주공고입구,953105
광주공원,11646
광주광역시교육청(광덕고),88523
광주교도소,4538
광주교통방송,69523
광주국제양궁장,24307
광주국제영어마을,99
광주그린카진흥원입구,10379
광주글로벌모터스,1393
광주기아챔피언스필드,131906
광주기아챔피언스필드입구,16156
광주기아챔피언스필드정문,11866
광주김치타운입구,48071
광주남초교,74606
광주농수산물유통센터(북),382640
광주농수산물유통센터(서),55910
광주다문화가족지원거점센터,21622
광주대,126891
광주대입구,222507
광주디자인센터,16564
광주무역회관,223835
광주병원,998637
광주세무서,598075
광주송정역,741286
광주송정역(동),29445
광주시립1요양병원,665
광주시립미술관하정웅미술관,1480
광주어망,644
광주여대,525848
광주역,469534
광주역(동),61946
광주역육교,117454
광주예술의전당,450208
광주예술의전당후문,62943
광주은행양산동지점,153901
광주이노비즈센터,1561
광주인력개발원,140670
광주일고/광주고용센터,382199
광주자동화설비공업고,245
광주종합버스터미널,3465193
광주중,23357
광주지방경찰청,1585
광주지방경찰청입구,53805
광주지방기상청,159742
광주축산농협산수동,1066
광주테크노파크,3590
광주테크노파크후문,5258
광주학생독립운동기념관,169637
광주학생문화회관,17527
광주학생운동기념탑,21509
광주호호수생태원,8273
광주효천시티프라디움,49089
광천E편한세상,37881
광천동,21980
광천초교,51204
광천치안센터,1453298
광호예식장,122
교대금호어울림,121962
교동,998
교산,751
교육대,222777
교촌마을,1689
교통공원,62287
구 하남북초교,55
구강리,3304
구남구청,137531
구룡(대촌),731
구룡(본량),4045
구소,802
구시청사거리,10965
구신한포토닉스,17455
구암,17960
구암1리,297
구암2리,245
구야촌,39
국립5.18민주묘지,2836
국립광주과학관,42111
국립광주박물관,30433
국립광주박물관입구,23912
국립나주병원,843
국립아시아문화전당(구.도청),1238863
국립전파연구원,49231
국제고,340340
그린파크,4723
극락강역입구,129964
극락초교,16298
근형기업,11155
금강1길,37812
금곡,5208
금구중,32948
금구초교,39239
금남로4가역,816014
금남로5가역,530308
금당,2074
금당중,35680
금복중,206
금호2동주민센터,22959
금호도개공아파트,59530
금호모아아파트,153683
금호베어스타운,4880
금호시영아파트,383049
금호아파트,104755
금호저수지입구,14429
금호전기,2096
금호초교,73003
금호타운아파트,142434
금호타이어,129687
금호한국아파트,233572
금호호반아파트1차,3291
기곡,1326
기독병원,38506
기룡마을,1800
기룡마을입구,471
기아자동차,310752
기아차정문,196142
기아차중문,146174
기아차하남공장,771
김대중컨벤션센터,22116
김대중컨벤션센터(마륵)역,91876
김대중컨벤션센터(마륵)역(북),53721
김대중컨벤션센터후문,377
까치고개,300758
꽃동네,214
나주농협송현지점,16872
나주동신대,30749
나주북초교,2266
나주축산농협,6976
남계(장성),1174
남계촌,9246
남광주농협,767183
남광주사거리,284453
남광주역,1675603
남구문화예술회관,167542
남구청,358676
남동,1612
남면보건지소,891
남면사무소,592
남부대,274540
남부대시립국제수영장,11360
남선산업,83130
남평교,3867
남평농협,5288
남평미래병원,4458
남평오거리,226
남해철강(동),47
남해철강(서),6493
내기마을,58
내남,4716
내남입구,9424
내등,968
너릿재공원,486
넘은골,73
노대,10595
노대제,11651
노동,178
노안남초교,5340
녹동,64970
녹서,435
녹진,375
농막,1740
농산물공판장,205649
농산물품질관리원,116322
농성1동주민센터,53084
농성SK뷰,49666
농성중흥파크,5647
농성파출소,99075
농소,320
농업기술원,1541
농장다리,42206
농협공판장,243
농협운천지점,365988
능주고,536
능주교,146
능주면사무소,637
능주사거리,403
능주역,20
능주초교,543
다도초교,430
다사랑병원,9525
다사로움1차아파트,143903
다지2구,417
단사공원,10848
단전,23343
단지마을,1322
단지삼거리,4581
닭뫼,931
닭전머리,390
담배인삼공사,9982
대곡,218
대광여고,930654
대덕,1963
대덕마을,284
대덕아파트,497
대덕훼미리아파트,44483
대동고,81959
대동마을,173843
대리교통광장(서),3040
대반초교,130438
대봉,1427
대봉삼거리,547
대산,989
대산삼거리,372
대성사거리,332187
대성여고,958740
대성초교,297050
대야,1632
대우디오빌,41017
대원정사,2966
대인광장(동),73420
대인광장(북),17932
대인광장(서),23543
대인시장(동),500769
대인시장(서),249218
대전파출소(남),19696
대주빌라,86576
대지동상촌,1674
대지동하촌,4598
대진운수,707
대촌동행정복지센터,32275
대촌마을,7938
대촌마을입구,2532
대촌미곡처리장,706
대촌한일베라체,41302
덕남,244
덕산아파트,228448
덕성,416
덕촌,32
덕흥동,479
덕흥마을입구,4137
덕흥삼거리,13655
도곡온천단지,2089
도곡온천단지입구,3635
도금마을회관,1109
도덕,157
도동,6511
도동고개,553
도래,2583
도로교통공단 대신파크,919624
도림,1749
도산동,15996
도산동행정복지센터,210655
도산역,171608
도산파출소,9112
도선사,10391
도선사입구,601
도야,402
도웅리1구,367
도웅리2구,74
도천저수지,48668
도촌,2006
도촌교,11892
도촌제,15631
도현,9094
도호,41
돈보스코학교,13619
돌고개역(동),265816
돌고개역(서),186787
동강대,283944
동강대후문,137717
동곡,24666
동곡동행정복지센터,2729
동곡분토,230
동곡송정,2907
동곡송정마을입구,1350
동광주IC입구,54324
동구노인종합복지관,64248
동구문화센터,111107
동구청,359056
동림I.C입구,39686
동림교,62633
동림마을,2
동림삼익아파트,191665
동림푸른마을,341975
동면,591
동면농공단지,433
동명고,22035
동명고입구,2912
동명정공,3688
동명회/송원고,265642
동백훈련장,366
동부교육청,8063
동부소방서,252288
동산교차로,8262
동산교차로(남),1936
동산교차로(북),49747
동산마을,4656
동산마을입구,78713
동산아파트,79137
동산초교,64852
동산초교옆,62195
동성고,500256
동신대한방병원,138645
동아제약,16012
동암,290
동원촌,11737
동일물산,12170
동진맨션,23435
동천6단지,21794
동천동행정복지센터,160876
동천마을1단지,269290
동천마을3단지,794625
동천마을6단지,109829
동천우미린아파트,82054
동초교,3710
동촌,48
동하,4931
동호,21
두동,340
두산,189
두산위브아파트,5115
두산테크팩,117
두암라인동산아파트,138865
두암주공아파트,174888
두암주공입구,281706
두암중,9649
두암지구입구,125545
두암초교,24564
두암타운후문,21984
두촌,798
등촌,8901
라인효친,339755
라정시내버스,569
럭키금속,552
럭키아파트,19904
로제비앙아파트,4246
롯데백화점,195284
롯데백화점(북),13598
롯데칠성,289342
마곡,167
마당고개,21494
마령,269
마산(서창),6631
마암,474
마재대주아파트,380856
마재부영아파트,144688
마재우체국,173696
마재종원아파트,32388
마재호반아파트,13514
마현,716
만수리,261
만연빌딩,5711
만호마을,80787
만호초교,137676
말바우시장(남),177272
말바우시장(동),757571
말바우시장(서),619876
망월,263
망향동산길,76
매곡대화아파트,193963
매곡삼익아파트,123245
매동,898
매방골,9303
매성고,209
매월동(동),2353
매월동(북),7232
매월종합상가공구단지,1442
매월종합상가입구,29873
매일시장입구,85611
매화동(나주),1593
매화동(장성),1149
맥동,1773
명도삼거리,277
명동삼거리,645
명상의집,14791
명지맨션,28141
명진고,9604
명진하이테크,2288
명화동,1864
명화리,31
명화전자,8388
모아2차아파트,223344
모아제일아파트,259804
목련마을,443635
목련마을6단지,394746
목련마을8단지,143865
무등교회,43421
무등도서관,628817
무등도요,1379
무등산국립공원(원효사),23308
무등산국립공원(증심사),172025
무등산생태탐방원,2335
무등스크린,3346
무등시장,29161
무등시장입구(남),136334
무등시장입구(북),46015
무등야구장,59281
무양서원,35186
무양서원입구,224738
무진중,58344
무학초교,1686
문산중,74586
문성고,89997
문성석재,39
문촌,413
문화근린공원,15144
문화아파트,30995
문화예술위원회,43834
문화전당역,1033044
문화중,303998
문화초교,135361
문흥1동행정복지센터,95088
문흥고가,90715
문흥금호아파트,10752
문흥라인동산아파트,143061
문흥라인아파트,294898
문흥명지아파트,230538
문흥중,147935
문흥중앙초교,25089
문흥지구입구(남),108602
문흥지구입구(동),5264
문흥지구입구(서),40117
박뫼,73
박호1리,175
박호동,107
반석,822
반촌,33636
발산,8261
발산교(남),24262
발산교(북),3466
방림교,244
방림삼거리,94175
방송통신대,54630
방축마을,1109
방혜,891
백길마을,571
백동,177
백암,286
백운광장,382631
백운우체국,755733
백운초교(남),74927
백운초교(북),24213
백제화학,367
백화아파트,3252
버들마을,349473
버들마을사거리,16565
버들주공1단지,42561
법림사,141
법원,122445
법원입구,288572
벽라리(화순역),5632
벽송,620
벽송저수지,17
벽파정,501
변전소,896
병풍리,2090
보강,1604
