순번,단속일시,단속장소,위도,경도
1,2022-01-01,광주광역시 서구 동천동 593,35.17161683,126.86553
2,2022-01-01,광주광역시 서구 매월동 621-18,35.11312913,126.8572354
3,2022-01-01,광주광역시 서구 치평동 1219-1,35.1584338,126.8516089
4,2022-01-01,광주광역시 서구 치평동 1219-1,35.1584338,126.8516089
5,2022-01-01,광주광역시 서구 치평동 1220-6,35.15409988,126.8527453
6,2022-01-01,광주광역시 서구 치평동 1233-11,35.1532732,126.849212
7,2022-01-01,광주광역시 서구 치평동 1244-2,35.15115421,126.8538951
8,2022-01-01,광주광역시 서구 화정동 178-36,35.15512039,126.8809378
9,2022-01-01,광주광역시 서구 화정동 23-10,35.15826299,126.8796106
10,2022-01-02,광주광역시 서구 동천동 650,35.16824079,126.86887
11,2022-01-02,광주광역시 서구 동천동 624,35.17147266,126.8684301
12,2022-01-02,광주광역시 서구 동천동 624,35.17147266,126.8684301
13,2022-01-02,광주광역시 서구 동천동 624,35.17147266,126.8684301
14,2022-01-02,광주광역시 서구 동천동 593,35.17161683,126.86553
15,2022-01-02,광주광역시 서구 동천동 590,35.17164795,126.8650027
16,2022-01-02,광주광역시 서구 동천동 588,35.1716801,126.8645851
17,2022-01-02,광주광역시 서구 동천동 605,35.17125632,126.865535
18,2022-01-02,광주광역시 서구 광천동 22,35.162802,126.8870124
19,2022-01-02,광주광역시 서구 금호동 740-1,35.13958631,126.8612226
20,2022-01-02,광주광역시 서구 금호동 740-2,35.1384418,126.8612495
21,2022-01-02,광주광역시 서구 금호동 779,35.13415217,126.861353
22,2022-01-02,광주광역시 서구 농성동 281-2,35.15266385,126.8892466
23,2022-01-02,광주광역시 서구 농성동 482-15,35.15384837,126.8857184
24,2022-01-02,광주광역시 서구 농성동 59-2,35.15338552,126.8942414
25,2022-01-02,광주광역시 서구 동천동 547,35.16882012,126.8604644
26,2022-01-02,광주광역시 서구 동천동 585,35.17138666,126.8640513
27,2022-01-02,광주광역시 서구 마륵동 97-67,35.14203865,126.8517183
28,2022-01-02,광주광역시 서구 매월동 259-2,35.12677998,126.8519103
29,2022-01-02,광주광역시 서구 벽진동 266-10,35.12788537,126.8430187
30,2022-01-02,광주광역시 서구 벽진동 266-10,35.12788537,126.8430187
31,2022-01-02,광주광역시 서구 쌍촌동 1228-4,35.14532548,126.8705805
32,2022-01-02,광주광역시 서구 쌍촌동 362-35,35.15496816,126.8655194
33,2022-01-02,광주광역시 서구 쌍촌동 973-17,35.15040201,126.8553762
34,2022-01-02,광주광역시 서구 쌍촌동 산90,35.14306227,126.8599013
35,2022-01-02,광주광역시 서구 치평동 1143,35.14935694,126.8525704
36,2022-01-02,광주광역시 서구 치평동 1174-3,35.14773221,126.8447355
37,2022-01-02,광주광역시 서구 치평동 1210-7,35.15683635,126.850446
38,2022-01-02,광주광역시 서구 치평동 1211-4,35.15599318,126.849931
39,2022-01-02,광주광역시 서구 치평동 1217-3,35.15443379,126.849931
40,2022-01-02,광주광역시 서구 치평동 1218-6,35.15498896,126.8504939
41,2022-01-02,광주광역시 서구 치평동 1219-1,35.1584338,126.8516089
42,2022-01-02,광주광역시 서구 치평동 1219-1,35.1584338,126.8516089
43,2022-01-02,광주광역시 서구 치평동 1219-1,35.1584338,126.8516089
44,2022-01-02,광주광역시 서구 치평동 1219,35.15654094,126.8516136
45,2022-01-02,광주광역시 서구 치평동 1219,35.15654094,126.8516136
46,2022-01-02,광주광역시 서구 치평동 1219,35.15654094,126.8516136
47,2022-01-02,광주광역시 서구 치평동 1219,35.15654094,126.8516136
48,2022-01-02,광주광역시 서구 치평동 1220-1,35.15498312,126.852733
49,2022-01-02,광주광역시 서구 치평동 1222-11,35.15501535,126.8532813
