정류장명,정류장 번호,권종,승하차구분,거래건수
31사단,4356,어린이,승차,259
31사단,4356,어린이,하차,62
31사단,4356,어린이,환승,2
31사단,4356,일반,승차,5098
31사단,4356,일반,하차,5274
31사단,4356,일반,환승,173
31사단,4356,청소년,승차,709
31사단,4356,청소년,하차,230
31사단,4356,청소년,환승,18
31사단,4357,어린이,승차,1357
31사단,4357,어린이,하차,12
31사단,4357,어린이,환승,5
31사단,4357,일반,승차,62773
31사단,4357,일반,하차,1040
31사단,4357,일반,환승,635
31사단,4357,청소년,승차,3689
31사단,4357,청소년,하차,54
31사단,4357,청소년,환승,48
4.19기념관,1005,어린이,승차,999
4.19기념관,1005,어린이,하차,94
4.19기념관,1005,어린이,환승,25
4.19기념관,1005,일반,승차,62606
4.19기념관,1005,일반,하차,20636
4.19기념관,1005,일반,환승,10237
4.19기념관,1005,청소년,승차,4783
4.19기념관,1005,청소년,하차,548
4.19기념관,1005,청소년,환승,532
4.19기념관,1006,어린이,승차,470
4.19기념관,1006,어린이,하차,86
4.19기념관,1006,어린이,환승,33
4.19기념관,1006,일반,승차,59803
4.19기념관,1006,일반,하차,12977
4.19기념관,1006,일반,환승,8987
4.19기념관,1006,청소년,승차,3246
4.19기념관,1006,청소년,하차,753
4.19기념관,1006,청소년,환승,560
4수원지,4263,어린이,승차,7
4수원지,4263,어린이,하차,9
4수원지,4263,어린이,환승,4
4수원지,4263,일반,승차,2143
4수원지,4263,일반,하차,164
4수원지,4263,일반,환승,62
4수원지,4263,청소년,승차,23
4수원지,4263,청소년,하차,6
4수원지,4263,청소년,환승,1
4수원지,4264,어린이,승차,3
4수원지,4264,어린이,환승,1
4수원지,4264,일반,승차,206
4수원지,4264,일반,하차,209
4수원지,4264,일반,환승,61
4수원지,4264,청소년,승차,4
4수원지,4264,청소년,하차,4
4수원지,4264,청소년,환승,2
4수원지위,4267,어린이,승차,1
4수원지위,4267,어린이,하차,7
4수원지위,4267,어린이,환승,1
4수원지위,4267,일반,승차,1129
4수원지위,4267,일반,하차,124
4수원지위,4267,일반,환승,52
4수원지위,4267,청소년,승차,6
4수원지위,4267,청소년,하차,3
4수원지위,4267,청소년,환승,2
4수원지위,4268,일반,승차,50
4수원지위,4268,일반,하차,390
4수원지위,4268,일반,환승,3
4수원지위,4268,청소년,승차,2
4수원지위,4268,청소년,하차,2
4수원지위,4268,청소년,환승,1
5.18기념공원,2060,어린이,승차,198
5.18기념공원,2060,어린이,하차,98
5.18기념공원,2060,어린이,환승,2
5.18기념공원,2060,일반,승차,5462
5.18기념공원,2060,일반,하차,15211
5.18기념공원,2060,일반,환승,239
5.18기념공원,2060,청소년,승차,1538
5.18기념공원,2060,청소년,하차,1219
5.18기념공원,2060,청소년,환승,31
5.18기념공원,2061,어린이,승차,670
5.18기념공원,2061,어린이,하차,49
5.18기념공원,2061,어린이,환승,2
5.18기념공원,2061,일반,승차,28812
5.18기념공원,2061,일반,하차,4761
5.18기념공원,2061,일반,환승,1035
5.18기념공원,2061,청소년,승차,4309
5.18기념공원,2061,청소년,하차,273
5.18기념공원,2061,청소년,환승,110
5.18기념문화센터,2062,어린이,승차,1366
5.18기념문화센터,2062,어린이,하차,377
5.18기념문화센터,2062,어린이,환승,27
5.18기념문화센터,2062,일반,승차,30688
5.18기념문화센터,2062,일반,하차,6003
5.18기념문화센터,2062,일반,환승,2801
5.18기념문화센터,2062,청소년,승차,10814
5.18기념문화센터,2062,청소년,하차,932
5.18기념문화센터,2062,청소년,환승,296
5.18기념문화센터,2063,어린이,승차,4063
5.18기념문화센터,2063,어린이,하차,159
5.18기념문화센터,2063,어린이,환승,36
5.18기념문화센터,2063,일반,승차,25013
5.18기념문화센터,2063,일반,하차,19715
5.18기념문화센터,2063,일반,환승,1442
5.18기념문화센터,2063,청소년,승차,16933
5.18기념문화센터,2063,청소년,하차,1798
5.18기념문화센터,2063,청소년,환승,185
5.18자유공원,2209,어린이,승차,739
5.18자유공원,2209,어린이,하차,14
5.18자유공원,2209,어린이,환승,7
5.18자유공원,2209,일반,승차,38696
5.18자유공원,2209,일반,하차,3453
5.18자유공원,2209,일반,환승,902
5.18자유공원,2209,청소년,승차,6157
5.18자유공원,2209,청소년,하차,97
5.18자유공원,2209,청소년,환승,61
5.18자유공원,2210,어린이,승차,12
5.18자유공원,2210,어린이,하차,58
5.18자유공원,2210,어린이,환승,1
5.18자유공원,2210,일반,승차,1310
5.18자유공원,2210,일반,하차,9916
5.18자유공원,2210,일반,환승,142
5.18자유공원,2210,청소년,승차,64
5.18자유공원,2210,청소년,하차,544
5.18자유공원,2210,청소년,환승,6
518민주화운동기록관,1137,어린이,승차,523
518민주화운동기록관,1137,어린이,하차,163
518민주화운동기록관,1137,어린이,환승,6
518민주화운동기록관,1137,일반,승차,29416
518민주화운동기록관,1137,일반,하차,18102
518민주화운동기록관,1137,일반,환승,2449
518민주화운동기록관,1137,청소년,승차,6008
518민주화운동기록관,1137,청소년,하차,1596
518민주화운동기록관,1137,청소년,환승,150
CBS방송국,2013,어린이,승차,3010
CBS방송국,2013,어린이,하차,188
CBS방송국,2013,어린이,환승,48
CBS방송국,2013,일반,승차,154941
CBS방송국,2013,일반,하차,24399
CBS방송국,2013,일반,환승,8921
CBS방송국,2013,청소년,승차,14117
CBS방송국,2013,청소년,하차,1753
CBS방송국,2013,청소년,환승,851
CBS방송국,2014,어린이,승차,2144
CBS방송국,2014,어린이,하차,214
CBS방송국,2014,어린이,환승,51
CBS방송국,2014,일반,승차,53118
CBS방송국,2014,일반,하차,26004
CBS방송국,2014,일반,환승,5992
CBS방송국,2014,청소년,승차,10484
CBS방송국,2014,청소년,하차,972
CBS방송국,2014,청소년,환승,412
EG아파트,2455,어린이,승차,323
EG아파트,2455,어린이,하차,5
EG아파트,2455,어린이,환승,1
EG아파트,2455,일반,승차,8094
EG아파트,2455,일반,하차,135
EG아파트,2455,일반,환승,20
EG아파트,2455,청소년,승차,1126
EG아파트,2455,청소년,하차,17
EG아파트,2455,청소년,환승,3
EG아파트,2456,어린이,승차,125
EG아파트,2456,어린이,하차,9
EG아파트,2456,어린이,환승,3
EG아파트,2456,일반,승차,991
EG아파트,2456,일반,하차,851
EG아파트,2456,일반,환승,18
EG아파트,2456,청소년,승차,788
EG아파트,2456,청소년,하차,22
EG아파트,2456,청소년,환승,5
KT&G광주공장,4077,어린이,승차,948
KT&G광주공장,4077,어린이,하차,199
KT&G광주공장,4077,어린이,환승,59
KT&G광주공장,4077,일반,승차,20036
KT&G광주공장,4077,일반,하차,22422
KT&G광주공장,4077,일반,환승,2130
KT&G광주공장,4077,청소년,승차,4236
KT&G광주공장,4077,청소년,하차,1232
KT&G광주공장,4077,청소년,환승,312
KT&G광주공장,4078,어린이,승차,1589
KT&G광주공장,4078,어린이,하차,175
KT&G광주공장,4078,어린이,환승,38
KT&G광주공장,4078,일반,승차,62086
KT&G광주공장,4078,일반,하차,6240
KT&G광주공장,4078,일반,환승,1557
KT&G광주공장,4078,청소년,승차,11772
KT&G광주공장,4078,청소년,하차,610
KT&G광주공장,4078,청소년,환승,183
KTX체육기지,5980,어린이,승차,3
KTX체육기지,5980,어린이,하차,1
KTX체육기지,5980,일반,승차,1831
KTX체육기지,5980,일반,하차,197
KTX체육기지,5980,일반,환승,14
KTX체육기지,5980,청소년,승차,207
KTX체육기지,5980,청소년,하차,4
KTX체육기지,5980,청소년,환승,1
LG전자광주물류센터,5888,어린이,승차,1
LG전자광주물류센터,5888,어린이,하차,1
LG전자광주물류센터,5888,일반,승차,1
