정류장명,권종,거래건수,정류장 번호,승하차구분
4수원지,어린이,8,1187,승차
4수원지,일반,2169,1187,승차
4수원지,청소년,34,1187,승차
4수원지위,어린이,3,1187,하차
4수원지위,일반,1713,1187,승차
4수원지위,청소년,1,1187,승차
광주시립미술관하정웅미술관,어린이,61,1187,승차
광주시립미술관하정웅미술관,일반,2405,1187,승차
광주시립미술관하정웅미술관,청소년,74,1187,승차
광주역,어린이,23,1187,승차
광주역,일반,7734,1187,승차
광주역,청소년,294,1187,승차
광주역(동),어린이,9,1187,승차
광주역(동),일반,4360,1187,승차
광주역(동),청소년,189,1187,승차
광주종합버스터미널,어린이,247,1187,승차
광주종합버스터미널,일반,40292,1187,승차
광주종합버스터미널,청소년,3019,1187,승차
광천E편한세상,어린이,31,1187,승차
광천E편한세상,일반,3971,1187,승차
광천E편한세상,청소년,369,1187,승차
광천동,어린이,27,1187,승차
광천동,일반,2277,1187,승차
광천동,청소년,235,1187,승차
국립아시아문화전당(구.도청),어린이,403,1187,승차
국립아시아문화전당(구.도청),일반,32086,1187,승차
국립아시아문화전당(구.도청),청소년,2716,1187,승차
그린파크,어린이,61,1187,하차
그린파크,일반,4404,1187,승차
그린파크,청소년,218,1187,승차
극락초교,어린이,47,1187,승차
극락초교,일반,5011,1187,승차
극락초교,청소년,235,1187,승차
금남로4가역,어린이,154,1187,승차
금남로4가역,일반,25361,1187,승차
금남로4가역,청소년,999,1187,승차
금남로5가역,어린이,77,1187,승차
금남로5가역,일반,17252,1187,승차
금남로5가역,청소년,525,1187,승차
기아차정문,어린이,94,1187,승차
기아차정문,일반,9374,1187,승차
기아차정문,청소년,445,1187,승차
농성SK뷰,어린이,22,1187,승차
농성SK뷰,일반,3750,1187,승차
농성SK뷰,청소년,111,1187,승차
농성파출소,어린이,81,1187,승차
농성파출소,일반,5546,1187,승차
농성파출소,청소년,433,1187,승차
농장다리,어린이,139,1187,승차
농장다리,일반,12288,1187,승차
농장다리,청소년,435,1187,승차
담배인삼공사,어린이,114,1187,승차
담배인삼공사,일반,10900,1187,승차
담배인삼공사,청소년,666,1187,승차
대인광장(동),어린이,238,1187,승차
대인광장(동),일반,9793,1187,승차
대인광장(동),청소년,485,1187,승차
덕흥동,어린이,4,1187,승차
덕흥동,일반,197,1187,승차
덕흥동,청소년,5,1187,승차
덕흥마을입구,어린이,21,1187,하차
덕흥마을입구,일반,2187,1187,하차
덕흥마을입구,청소년,11,1187,하차
덕흥삼거리,어린이,11,1187,하차
덕흥삼거리,일반,8186,1187,승차
덕흥삼거리,청소년,271,1187,하차
동구노인종합복지관,어린이,164,1187,승차
동구노인종합복지관,일반,16217,1187,승차
동구노인종합복지관,청소년,1349,1187,승차
동구청,어린이,244,1187,승차
동구청,일반,17955,1187,승차
동구청,청소년,694,1187,승차
롯데백화점,어린이,65,1187,승차
롯데백화점,일반,7262,1187,승차
롯데백화점,청소년,216,1187,승차
롯데백화점(북),어린이,44,1187,승차
롯데백화점(북),일반,3260,1187,승차
롯데백화점(북),청소년,282,1187,승차
무등산국립공원(원효사),어린이,67,1187,승차
무등산국립공원(원효사),일반,18926,1187,승차
무등산국립공원(원효사),청소년,274,1187,승차
문화전당역,어린이,256,1187,승차
문화전당역,일반,21473,1187,승차
문화전당역,청소년,1410,1187,승차
버들주공1단지,어린이,317,1187,승차
버들주공1단지,일반,11021,1187,승차
버들주공1단지,청소년,1379,1187,승차
법원입구,어린이,169,1187,승차
법원입구,일반,20559,1187,승차
법원입구,청소년,747,1187,승차
북광주수협,어린이,21,1187,승차
북광주수협,일반,8694,1187,승차
북광주수협,청소년,126,1187,승차
산수무등파크,어린이,8,1187,승차
산수무등파크,일반,7773,1187,승차
산수무등파크,청소년,263,1187,승차
산수시장,어린이,113,1187,승차
산수시장,일반,22935,1187,승차
산수시장,청소년,463,1187,승차
삼우아파트,어린이,8,1187,승차
삼우아파트,일반,1632,1187,승차
삼우아파트,청소년,103,1187,승차
서구청,어린이,8,1187,승차
서구청,일반,3085,1187,승차
서구청,청소년,78,1187,승차
서림초교입구,어린이,27,1187,승차
서림초교입구,일반,10550,1187,승차
서림초교입구,청소년,172,1187,승차
신세계백화점,어린이,156,1187,승차
신세계백화점,일반,24436,1187,승차
신세계백화점,청소년,1092,1187,승차
신안사거리,어린이,50,1187,승차
신안사거리,일반,17062,1187,승차
신안사거리,청소년,581,1187,승차
안양사,어린이,3,1187,승차
안양사,일반,1002,1187,승차
안양사,청소년,12,1187,승차
유덕2교차로,어린이,10,1187,하차
유덕2교차로,일반,2892,1187,승차
유덕2교차로,청소년,32,1187,하차
유덕동주민센터,어린이,33,1187,승차
유덕동주민센터,일반,3107,1187,승차
유덕동주민센터,청소년,117,1187,승차
유덕치안센터,어린이,23,1187,승차
유덕치안센터,일반,1873,1187,승차
유덕치안센터,청소년,119,1187,승차
장원초교(동),어린이,194,1187,승차
장원초교(동),일반,14606,1187,승차
장원초교(동),청소년,663,1187,승차
장원초교(서),어린이,84,1187,승차
장원초교(서),일반,8658,1187,승차
장원초교(서),청소년,137,1187,승차
전망대,어린이,2,1187,승차
전망대,일반,1113,1187,승차
전망대,청소년,34,1187,승차
중흥1동행정복지센터,어린이,329,1187,승차
중흥1동행정복지센터,일반,5075,1187,승차
중흥1동행정복지센터,청소년,194,1187,승차
중흥초교,어린이,28,1187,승차
중흥초교,일반,11378,1187,승차
중흥초교,청소년,337,1187,승차
진성아파트,어린이,22,1187,승차
진성아파트,일반,1485,1187,승차
진성아파트,청소년,60,1187,승차
충장사(남),어린이,25,1187,승차
충장사(남),일반,1661,1187,승차
충장사(남),청소년,73,1187,승차
칠성마을,어린이,30,1187,승차
칠성마을,일반,5797,1187,승차
칠성마을,청소년,394,1187,승차
풍암정,어린이,30,1187,승차
풍암정,일반,1650,1187,승차
풍암정,청소년,48,1187,승차
화암,어린이,7,1187,승차
화암,일반,5891,1187,승차
화암,청소년,39,1187,승차
화암마을위,일반,932,1187,승차
화암마을위,청소년,37,1187,승차
화정중흥파크,어린이,75,1187,승차
화정중흥파크,일반,15052,1187,승차
