정류장명,정류장번호(ARS_ID),권종구분,승하차구분,거래건수
31사단,4356,어린이,승차,43
31사단,4356,어린이,환승,1
31사단,4356,일반,승차,4713
31사단,4356,일반,환승,156
31사단,4356,청소년,승차,752
31사단,4356,청소년,환승,17
31사단,4357,어린이,승차,1519
31사단,4357,어린이,환승,4
31사단,4357,일반,승차,58236
31사단,4357,일반,환승,791
31사단,4357,청소년,승차,3959
31사단,4357,청소년,환승,43
4.19기념관,1005,어린이,승차,928
4.19기념관,1005,어린이,환승,41
4.19기념관,1005,일반,승차,57167
4.19기념관,1005,일반,환승,10164
4.19기념관,1005,청소년,승차,5225
4.19기념관,1005,청소년,환승,525
4.19기념관,1006,어린이,승차,423
4.19기념관,1006,어린이,환승,27
4.19기념관,1006,일반,승차,53704
4.19기념관,1006,일반,환승,9061
4.19기념관,1006,청소년,승차,3577
4.19기념관,1006,청소년,환승,594
4수원지,4263,어린이,승차,18
4수원지,4263,일반,승차,1782
4수원지,4263,일반,환승,70
4수원지,4263,청소년,승차,73
4수원지,4264,어린이,승차,5
4수원지,4264,일반,승차,277
4수원지,4264,일반,환승,55
4수원지,4264,청소년,승차,6
4수원지위,4267,어린이,승차,5
4수원지위,4267,일반,승차,1133
4수원지위,4267,일반,환승,29
4수원지위,4267,청소년,승차,4
4수원지위,4268,일반,승차,268
5.18기념공원,2060,어린이,승차,131
5.18기념공원,2060,일반,승차,3930
5.18기념공원,2060,일반,환승,189
5.18기념공원,2060,청소년,승차,1015
5.18기념공원,2060,청소년,환승,23
5.18기념공원,2061,어린이,승차,600
5.18기념공원,2061,어린이,환승,4
5.18기념공원,2061,일반,승차,23319
5.18기념공원,2061,일반,환승,849
5.18기념공원,2061,청소년,승차,3223
5.18기념공원,2061,청소년,환승,143
5.18기념문화센터,2062,어린이,승차,727
5.18기념문화센터,2062,어린이,환승,21
5.18기념문화센터,2062,일반,승차,28828
5.18기념문화센터,2062,일반,환승,2306
5.18기념문화센터,2062,청소년,승차,8627
5.18기념문화센터,2062,청소년,환승,346
5.18기념문화센터,2063,어린이,승차,3922
