정류장명,정류장 번호,권종,승하차구분,거래건수
4수원지,1187,어린이,승차,2
4수원지,1187,어린이,하차,1
4수원지,1187,어린이,승차,4
4수원지,1187,어린이,환승,1
4수원지,1187,일반,승차,1679
4수원지,1187,일반,하차,70
4수원지,1187,일반,환승,18
4수원지,1187,일반,승차,78
4수원지,1187,일반,하차,295
4수원지,1187,일반,환승,29
4수원지,1187,청소년,승차,22
4수원지,1187,청소년,하차,1
4수원지,1187,청소년,환승,1
4수원지,1187,청소년,승차,5
4수원지,1187,청소년,하차,5
4수원지위,1187,어린이,하차,1
4수원지위,1187,어린이,하차,2
4수원지위,1187,일반,승차,808
4수원지위,1187,일반,하차,49
4수원지위,1187,일반,환승,5
4수원지위,1187,일반,승차,114
4수원지위,1187,일반,하차,736
4수원지위,1187,일반,환승,1
4수원지위,1187,청소년,승차,1
광주시립미술관하정웅미술관,1187,어린이,승차,57
광주시립미술관하정웅미술관,1187,어린이,하차,4
광주시립미술관하정웅미술관,1187,일반,승차,1737
광주시립미술관하정웅미술관,1187,일반,하차,604
광주시립미술관하정웅미술관,1187,일반,환승,64
광주시립미술관하정웅미술관,1187,청소년,승차,67
광주시립미술관하정웅미술관,1187,청소년,하차,2
광주시립미술관하정웅미술관,1187,청소년,환승,5
광주역,1187,어린이,승차,11
광주역,1187,어린이,하차,10
광주역,1187,어린이,환승,2
광주역,1187,일반,승차,2746
광주역,1187,일반,하차,4214
광주역,1187,일반,환승,774
광주역,1187,청소년,승차,97
광주역,1187,청소년,하차,168
광주역,1187,청소년,환승,29
광주역(동),1187,어린이,승차,6
광주역(동),1187,어린이,하차,3
광주역(동),1187,일반,승차,2963
광주역(동),1187,일반,하차,840
광주역(동),1187,일반,환승,557
광주역(동),1187,청소년,승차,143
광주역(동),1187,청소년,하차,23
광주역(동),1187,청소년,환승,23
광주종합버스터미널,1187,어린이,승차,47
광주종합버스터미널,1187,어린이,하차,20
광주종합버스터미널,1187,어린이,환승,15
광주종합버스터미널,1187,어린이,승차,75
광주종합버스터미널,1187,어린이,하차,16
광주종합버스터미널,1187,어린이,환승,74
광주종합버스터미널,1187,일반,승차,3867
광주종합버스터미널,1187,일반,하차,4075
광주종합버스터미널,1187,일반,환승,7047
광주종합버스터미널,1187,일반,승차,9368
광주종합버스터미널,1187,일반,하차,5395
광주종합버스터미널,1187,일반,환승,10540
광주종합버스터미널,1187,청소년,승차,438
광주종합버스터미널,1187,청소년,하차,247
광주종합버스터미널,1187,청소년,환승,624
광주종합버스터미널,1187,청소년,승차,696
광주종합버스터미널,1187,청소년,하차,332
광주종합버스터미널,1187,청소년,환승,682
광천E편한세상,1187,어린이,승차,8
광천E편한세상,1187,어린이,하차,8
광천E편한세상,1187,어린이,승차,15
